[2025-03-14T05:10:13.872678524+00:00] Contenedor PID 1715: Nombre: containerd, Tipo: containerd, Uso CPU: 9%, Uso Memoria: 0.2%
[2025-03-14T05:10:13.872678524+00:00] Contenedor PID 1766: Nombre: dockerd, Tipo: dockerd, Uso CPU: 25%, Uso Memoria: 0.4%
[2025-03-14T05:10:13.872678524+00:00] Contenedor PID 6299: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 18%, Uso Memoria: 0.5%
[2025-03-14T05:10:13.872678524+00:00] Contenedor PID 6321: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 16%, Uso Memoria: 0.8%
[2025-03-14T05:10:13.872678524+00:00] Contenedor PID 6365: Nombre: com.docker.buil, Tipo: com.docker.buil, Uso CPU: 12%, Uso Memoria: 0.3%
[2025-03-14T05:10:13.872678524+00:00] Contenedor PID 6366: Nombre: com.docker.dev-, Tipo: com.docker.dev-, Uso CPU: 1%, Uso Memoria: 0%
[2025-03-14T05:10:13.872678524+00:00] Contenedor PID 14517: Nombre: docker, Tipo: docker, Uso CPU: 1%, Uso Memoria: 0.1%
[2025-03-14T05:10:13.872678524+00:00] Contenedor PID 14543: Nombre: docker-compose, Tipo: docker-compose, Uso CPU: 2%, Uso Memoria: 0.1%
[2025-03-14T05:22:30.263632713+00:00] Contenedor PID 1715: Nombre: containerd, Tipo: containerd, Uso CPU: 9%, Uso Memoria: 0.2%
[2025-03-14T05:22:30.263632713+00:00] Contenedor PID 1766: Nombre: dockerd, Tipo: dockerd, Uso CPU: 25%, Uso Memoria: 0.4%
[2025-03-14T05:22:30.263632713+00:00] Contenedor PID 6299: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 18%, Uso Memoria: 0.5%
[2025-03-14T05:22:30.263632713+00:00] Contenedor PID 6321: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 16%, Uso Memoria: 0.8%
[2025-03-14T05:22:30.263632713+00:00] Contenedor PID 6365: Nombre: com.docker.buil, Tipo: com.docker.buil, Uso CPU: 12%, Uso Memoria: 0.3%
[2025-03-14T05:22:30.263632713+00:00] Contenedor PID 6366: Nombre: com.docker.dev-, Tipo: com.docker.dev-, Uso CPU: 1%, Uso Memoria: 0%
[2025-03-14T05:22:30.263632713+00:00] Contenedor PID 18024: Nombre: docker, Tipo: docker, Uso CPU: 2%, Uso Memoria: 0.1%
[2025-03-14T05:22:30.263632713+00:00] Contenedor PID 18030: Nombre: docker, Tipo: docker, Uso CPU: 2%, Uso Memoria: 0.1%
[2025-03-14T05:22:30.263632713+00:00] Contenedor PID 18041: Nombre: docker, Tipo: docker, Uso CPU: 2%, Uso Memoria: 0.1%
[2025-03-14T05:22:30.263632713+00:00] Contenedor PID 18095: Nombre: docker, Tipo: docker, Uso CPU: 1%, Uso Memoria: 0.1%
[2025-03-14T05:22:30.263632713+00:00] Contenedor PID 18121: Nombre: docker-compose, Tipo: docker-compose, Uso CPU: 2%, Uso Memoria: 0.1%
[2025-03-14T05:24:12.157653895+00:00] Contenedor PID 1715: Nombre: containerd, Tipo: containerd, Uso CPU: 9%, Uso Memoria: 0.2%
[2025-03-14T05:24:12.157653895+00:00] Contenedor PID 1766: Nombre: dockerd, Tipo: dockerd, Uso CPU: 25%, Uso Memoria: 0.4%
[2025-03-14T05:24:12.157653895+00:00] Contenedor PID 6299: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 18%, Uso Memoria: 0.5%
[2025-03-14T05:24:12.157653895+00:00] Contenedor PID 6321: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 16%, Uso Memoria: 0.8%
[2025-03-14T05:24:12.157653895+00:00] Contenedor PID 6365: Nombre: com.docker.buil, Tipo: com.docker.buil, Uso CPU: 12%, Uso Memoria: 0.3%
[2025-03-14T05:24:12.157653895+00:00] Contenedor PID 6366: Nombre: com.docker.dev-, Tipo: com.docker.dev-, Uso CPU: 1%, Uso Memoria: 0%
[2025-03-14T05:24:12.157653895+00:00] Contenedor PID 19161: Nombre: docker, Tipo: docker, Uso CPU: 3%, Uso Memoria: 0.1%
[2025-03-14T05:24:12.157653895+00:00] Contenedor PID 19219: Nombre: docker, Tipo: docker, Uso CPU: 3%, Uso Memoria: 0.1%
[2025-03-14T05:24:12.157653895+00:00] Contenedor PID 19229: Nombre: docker-compose, Tipo: docker-compose, Uso CPU: 4%, Uso Memoria: 0.1%
[2025-03-14T05:26:17.720877811+00:00] Contenedor PID 1715: Nombre: containerd, Tipo: containerd, Uso CPU: 9%, Uso Memoria: 0.2%
[2025-03-14T05:26:17.720877811+00:00] Contenedor PID 1766: Nombre: dockerd, Tipo: dockerd, Uso CPU: 25%, Uso Memoria: 0.4%
[2025-03-14T05:26:17.720877811+00:00] Contenedor PID 6299: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 18%, Uso Memoria: 0.5%
[2025-03-14T05:26:17.720877811+00:00] Contenedor PID 6321: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 16%, Uso Memoria: 0.9%
[2025-03-14T05:26:17.720877811+00:00] Contenedor PID 6365: Nombre: com.docker.buil, Tipo: com.docker.buil, Uso CPU: 12%, Uso Memoria: 0.3%
[2025-03-14T05:26:17.720877811+00:00] Contenedor PID 6366: Nombre: com.docker.dev-, Tipo: com.docker.dev-, Uso CPU: 1%, Uso Memoria: 0%
